DateTime4,LV ActivePower (kW),Theoretical_Power_Curve (KWh),Wind Speed (m/s),Temperature,DewPoint,Humidity,Pressure
21-03-2018 15.20,3440.646647,3582.703601,12.58939012,66,37,35,29.58
21-03-2018 15.50,3562.434733,3600,13.52241993,66,39,37,29.58
21-03-2018 16.20,3516.073405,3592.064272,12.94386705,64,39,40,29.58
21-03-2018 16.50,3535.74235,3595.155696,13.26790682,64,41,42,29.58
21-03-2018 17.20,3585.747315,3599.141654,13.57446671,63,41,45,29.58
21-03-2018 17.50,3570.742269,3600,13.56258329,63,43,48,29.58
21-03-2018 18.20,2867.404053,3093.532575,10.88099925,63,43,48,29.58
21-03-2018 18.50,3122.297282,3293.930364,11.59262339,61,43,52,29.58
21-03-2018 19.20,2528.708008,2735.591907,10.04726124,61,45,55,29.58
21-03-2018 19.50,473.1046702,519.1358186,5.516086737,61,45,55,29.61
21-03-2018 20.20,726.0289103,818.7442363,6.504652659,59,46,63,29.61
21-03-2018 20.50,557.9969584,636.8758228,5.990350247,61,45,55,29.61
21-03-2018 21.20,314.4937083,386.0204683,5.101981004,63,43,48,29.64
21-03-2018 21.50,24.70385572,27.42038062,3.056182941,63,45,52,29.64
21-03-2018 22.20,0,6.98379839,2.862179677,61,45,55,29.67
21-03-2018 23.50,63.69983672,275.7326874,4.740103722,57,48,72,29.67
22-03-2018 0.20,372.6218058,528.1705492,5.693564097,57,48,72,29.67
22-03-2018 0.50,437.1483358,500.4966313,5.604675929,54,46,77,29.67
22-03-2018 1.20,622.8094279,707.3296207,6.231801033,52,45,76,29.7
22-03-2018 1.50,285.2992833,354.9689595,4.925609032,52,45,76,29.72
22-03-2018 2.20,542.7447408,675.5560676,6.011723359,48,45,87,29.72
22-03-2018 2.50,766.8577677,994.2077229,6.951197624,50,43,88,29.64
22-03-2018 3.20,1278.001689,1323.759351,7.612148603,50,43,88,29.64
22-03-2018 3.50,1150.198731,1172.655243,7.320039908,46,43,87,29.72
22-03-2018 4.20,562.5407002,488.6655897,5.422762076,46,43,87,29.75
22-03-2018 4.50,241.7065684,167.4689476,4.189034303,46,43,87,29.72
22-03-2018 5.20,465.7166341,567.6545492,5.783589999,45,43,93,29.72
22-03-2018 5.50,920.527832,1022.189365,7.012244701,46,43,87,29.72
22-03-2018 5.50,920.527832,1022.189365,7.012244701,45,43,93,29.72
22-03-2018 6.20,481.4185282,581.8971029,5.817946116,45,43,93,29.72
22-03-2018 6.50,372.3179118,304.3229363,4.847372055,45,43,93,29.72
22-03-2018 7.20,917.4712932,1134.941755,7.115260601,45,43,93,29.72
22-03-2018 7.50,1395.503662,1549.47883,7.999622345,46,45,93,29.75
22-03-2018 8.20,2496.10376,2752.670869,10.0010945,46,45,93,29.72
22-03-2018 8.50,2733.443359,3034.106464,10.43830013,46,45,93,29.7
22-03-2018 9.20,2922.711019,3133.177685,10.66955661,46,45,93,29.67
22-03-2018 9.50,2898.351318,3141.164005,10.66753992,46,45,93,29.67
22-03-2018 10.20,3491.782959,3528.947909,12.09681638,46,45,93,29.67
22-03-2018 10.50,3578.06429,3544.356325,12.18217341,45,45,100,29.67
22-03-2018 11.20,3529.128011,3527.439473,12.06455676,46,45,93,29.67
22-03-2018 11.50,3537.392334,3539.364102,12.15764681,46,43,87,29.64
22-03-2018 12.20,3565.669678,3564.242182,12.36485004,46,45,93,29.64
22-03-2018 12.50,3342.147623,3359.811112,11.27673658,46,43,87,29.61
22-03-2018 13.20,3237.602376,3352.07091,11.36362998,46,43,87,29.58
22-03-2018 13.50,3537.748616,3531.043816,12.08172003,46,43,87,29.58
22-03-2018 14.20,2991.627686,3169.710913,10.80290635,46,43,87,29.58
22-03-2018 14.50,2755.671631,3133.715928,10.65225029,45,41,87,29.55
22-03-2018 15.20,3233.870036,3454.984905,11.71622976,45,41,87,29.55
22-03-2018 15.50,2665.417073,2824.80386,10.42960739,45,41,87,29.52
22-03-2018 16.20,3111.054036,3247.314611,10.98142338,45,41,87,29.52
22-03-2018 16.50,3561.638997,3576.302019,12.59552988,45,41,87,29.52
22-03-2018 17.20,3071.0507,3215.491675,11.10671647,45,41,87,29.52
22-03-2018 17.50,3427.133626,3474.10601,11.91130988,45,41,87,29.49
22-03-2018 18.20,2791.437622,2942.650925,10.49817626,43,39,87,29.49
22-03-2018 18.50,2251.957398,2586.183597,9.918700058,43,39,87,29.49
22-03-2018 19.20,3567.912028,3595.70165,13.13882319,43,39,87,29.49
22-03-2018 19.50,3234.829346,3475.879864,11.81143697,43,39,87,29.46
22-03-2018 20.20,2603.161702,2858.082241,10.16625087,43,39,87,29.49
22-03-2018 20.50,1258.987346,1280.721573,7.528708617,43,39,87,29.49
22-03-2018 21.20,716.8264974,569.3242871,5.794229349,43,39,87,29.49
22-03-2018 21.50,535.4181315,595.0602161,5.880260468,43,39,87,29.46
22-03-2018 22.20,890.9449666,988.3494022,6.934617678,43,39,87,29.43
22-03-2018 22.50,1118.742004,1203.081153,7.388761679,43,39,87,29.4
22-03-2018 23.20,1403.967651,1539.810343,8.00007248,43,39,87,29.37
22-03-2018 23.50,1280.122355,1408.203307,7.776594798,43,39,87,29.4
23-03-2018 0.20,1769.430664,2120.641323,8.972021739,43,41,93,29.34
23-03-2018 0.50,1689.694661,1978.833485,8.717310429,43,41,93,29.32
23-03-2018 1.20,1204.620687,1320.570372,7.617080847,43,41,93,29.32
23-03-2018 1.50,652.482666,676.561833,6.142044067,43,41,93,29.29
23-03-2018 2.20,1661.160177,1830.667242,8.615951857,43,41,93,29.26
23-03-2018 2.50,3433.056315,3544.353864,12.91272322,50,43,88,29.64
23-03-2018 3.20,873.051819,3344.335487,11.30150986,50,43,88,29.64
23-03-2018 3.50,3451.504639,3544.158746,12.42996661,45,41,87,29.23
23-03-2018 4.20,3485.607666,3575.246882,12.57745997,45,41,87,29.2
23-03-2018 4.50,3575.789958,3599.311511,13.68213336,45,43,93,29.17
23-03-2018 5.20,3414.461995,3541.701619,12.31110986,45,43,93,29.17
23-03-2018 5.50,3203.496012,3349.356584,11.55858326,45,43,93,29.2
23-03-2018 5.50,3203.496012,3349.356584,11.55858326,45,43,93,29.17
23-03-2018 6.20,3236.707031,3434.136523,11.59587987,45,43,93,29.17
23-03-2018 6.50,3388.225993,3502.799919,13.17722321,45,43,93,29.14
23-03-2018 7.20,3597.126709,3600,15.95612017,45,43,93,29.14
23-03-2018 7.50,3598.315267,3600,13.79773648,46,43,87,29.14
23-03-2018 8.20,3602.562337,3600,15.13110002,46,43,87,29.14
23-03-2018 8.50,3583.728678,3600,13.74829324,46,45,93,29.11
23-03-2018 9.20,3499.709391,3595.361597,12.8788201,48,45,87,29.14
23-03-2018 9.50,3537.392334,3600,15.0174036,48,45,87,29.14
23-03-2018 10.20,3581.201742,3600,14.48485343,48,45,87,29.14
23-03-2018 10.50,3585.357666,3600,14.41308689,48,45,87,29.14
23-03-2018 11.20,3130.888753,3429.933511,12.06678677,48,46,93,29.14
23-03-2018 11.50,1842.085693,1906.353213,8.623508771,52,46,82,29.14
23-03-2018 12.20,1400.29834,1440.205819,7.823184808,55,48,77,29.14
23-03-2018 12.50,713.4436239,734.9491162,6.300529003,54,48,82,29.14
23-03-2018 13.20,732.3973897,718.5234365,6.21159029,55,48,77,29.14
23-03-2018 13.50,916.1827801,875.2991662,6.548394998,57,48,72,29.14
23-03-2018 14.20,467.349294,480.7049437,5.493371328,55,46,72,29.14
23-03-2018 14.50,284.2548726,275.0115905,4.711469332,57,46,67,29.14
23-03-2018 15.20,111.9137344,109.703849,3.845011632,57,46,67,29.14
23-03-2018 16.20,377.0211283,387.3579367,5.029621998,57,45,63,29.14
23-03-2018 16.50,2192.759318,2382.060665,9.366432826,57,46,67,29.14
23-03-2018 17.20,897.1616316,825.7879566,6.012555838,54,46,77,29.14
23-03-2018 17.50,364.0062764,386.7743544,5.045698643,52,46,82,29.17
23-03-2018 18.20,13.05261358,11.40499187,2.652968287,50,46,87,29.17
23-03-2018 18.50,134.0193812,190.1704585,4.203679959,50,46,87,29.17
23-03-2018 19.20,737.2849325,767.685154,6.340599219,50,46,87,29.17
23-03-2018 19.50,1425.339355,1552.874395,8.03742822,50,46,87,29.17
23-03-2018 20.20,1688.08199,1817.929621,8.451629638,48,45,87,29.17
23-03-2018 20.50,2122.871012,2441.262283,9.461494764,46,45,93,29.2
23-03-2018 21.20,1387.477987,1504.415898,7.939800421,45,45,100,29.2
23-03-2018 21.50,1327.49235,1394.881298,7.754684925,45,43,93,29.2
23-03-2018 22.20,1353.24467,1473.973017,7.896455288,45,43,93,29.2
23-03-2018 22.50,1742.11735,2008.991718,8.788337708,43,43,100,29.2
23-03-2018 23.20,1369.271647,1537.176139,7.990077177,43,43,100,29.2
23-03-2018 23.50,771.7261963,868.7879688,6.654113451,43,43,100,29.2
24-03-2018 0.20,616.4294739,720.2999307,6.260361036,43,41,93,29.2
24-03-2018 0.50,799.6751303,915.2421555,6.712563992,43,43,100,29.2
24-03-2018 1.20,922.2180991,983.8079869,6.884280205,43,43,100,29.2
24-03-2018 1.50,1166.098348,1298.018061,7.576163769,43,43,100,29.2
24-03-2018 2.20,725.1570231,811.3933247,6.491677125,45,43,93,29.2
24-03-2018 2.50,1104.574137,1212.01898,7.3973581,50,43,88,29.64
24-03-2018 3.20,1052.211243,1241.255101,7.46535635,50,43,88,29.64
24-03-2018 3.50,667.0216573,761.6770673,6.343235334,45,43,93,29.17
24-03-2018 4.20,358.6727803,417.7397797,5.122071028,45,43,93,29.17
24-03-2018 4.50,388.3387655,432.956456,5.361301422,45,43,93,29.17
24-03-2018 5.20,18.40998332,56.53772313,2.849736889,45,43,93,29.17
24-03-2018 5.50,141.6308645,191.5749972,4.220010916,45,43,93,29.17
24-03-2018 6.20,65.95511803,78.6441347,3.577415387,45,43,93,29.17
24-03-2018 6.50,122.7986628,158.4548321,4.169859886,43,43,100,29.17
24-03-2018 7.20,23.40348657,30.16560927,2.984202703,43,43,100,29.2
24-03-2018 7.50,9.087126413,79.8401886,3.387624979,45,41,87,29.2
24-03-2018 8.20,328.9744975,372.0195163,5.101540089,45,43,93,29.2
24-03-2018 8.50,97.01946385,101.2955812,3.093319654,45,43,93,29.23
24-03-2018 9.20,0,0,1.20914797,45,43,93,29.23
24-03-2018 9.50,0,0,1.813303391,45,43,93,29.23
24-03-2018 10.20,0,0,1.487095117,46,43,87,29.23
24-03-2018 10.50,0,0,0.88789016,46,43,87,29.26
24-03-2018 11.20,0,0,1.679368695,46,43,87,29.26
24-03-2018 11.50,0,5.357545013,2.402698358,46,43,87,29.29
24-03-2018 12.20,0,0,2.521300634,46,43,87,29.29
24-03-2018 12.50,0,19.56247,2.874997298,46,43,87,29.29
24-03-2018 13.50,0,13.0660154,2.968269348,45,41,87,29.32
24-03-2018 14.50,13.07147868,18.38528866,3.031294028,45,41,87,29.34
24-03-2018 15.20,52.749108,41.0711025,3.385297298,43,41,93,29.34
24-03-2018 15.50,113.2150574,103.8475913,3.826600313,43,41,93,29.37
24-03-2018 16.20,72.3867874,65.49151706,3.556712707,43,41,93,29.37
24-03-2018 16.50,318.0988007,317.728645,4.904795011,43,41,93,29.4
24-03-2018 17.20,274.3309682,265.806997,4.692272981,43,41,93,29.4
24-03-2018 17.50,576.0651449,581.7677095,5.864067713,43,39,87,29.43
24-03-2018 18.20,425.9496969,467.3565847,5.47858429,43,39,87,29.43
24-03-2018 18.50,908.6211548,939.4390146,6.794408003,43,39,87,29.43
24-03-2018 19.20,467.1142273,547.9957573,5.742206574,43,41,93,29.46
24-03-2018 19.50,400.6193949,486.6833143,5.535002073,43,41,93,29.46
24-03-2018 20.20,381.8084412,507.7620613,5.618222078,43,41,93,29.46
24-03-2018 20.50,219.1156718,279.7292479,4.753876209,43,41,93,29.49
24-03-2018 21.20,134.2953885,170.3212596,4.206001918,43,41,93,29.49
24-03-2018 21.50,17.93697771,56.48420506,3.421179931,43,41,93,29.49
24-03-2018 22.20,175.0871658,232.6840867,4.54479901,43,41,93,29.52
24-03-2018 22.50,730.9298299,775.995093,6.355040391,43,41,93,29.52
24-03-2018 23.20,679.7023214,671.3148242,6.123205662,43,41,93,29.52
24-03-2018 23.50,587.3372498,613.2503254,5.90496397,43,41,93,29.52
25-03-2018 0.20,740.9955241,756.7586017,6.363208135,43,41,93,29.52
25-03-2018 0.50,383.9092306,424.7910461,5.328818639,43,41,93,29.52
25-03-2018 1.20,471.6155701,526.8382511,5.677881718,43,41,93,29.52
25-03-2018 1.50,325.8512624,379.1420618,5.159744263,43,41,93,29.52
25-03-2018 2.20,681.7914429,712.5831872,6.245922407,43,41,93,29.52
25-03-2018 2.50,425.023468,528.8344944,5.665467739,50,43,88,29.64
25-03-2018 3.20,431.3687642,573.6135138,5.842365265,50,43,88,29.64
25-03-2018 3.50,335.2967631,427.2177595,5.326996009,43,41,93,29.55
25-03-2018 4.20,93.0871245,127.1270742,3.954236667,43,41,93,29.52
25-03-2018 4.50,2.060847282,15.79956507,3.080417633,43,41,93,29.55
25-03-2018 5.20,162.7546997,194.2344965,4.362926165,43,41,93,29.55
25-03-2018 5.50,171.9801026,188.9934337,4.316275915,43,41,93,29.55
25-03-2018 6.20,9.256537913,8.546976423,2.775220632,43,41,93,29.55
25-03-2018 6.50,26.17490578,22.10155052,2.829022964,43,41,93,29.58
25-03-2018 7.20,75.74722783,67.97102723,3.442466259,43,41,93,29.58
25-03-2018 7.50,536.252065,497.1940574,5.564677079,43,41,93,29.58
25-03-2018 8.20,444.7621664,406.4266561,5.226819992,45,41,87,29.61
25-03-2018 8.50,378.8555247,353.4192702,5.024518649,45,43,93,29.61
25-03-2018 9.20,578.1759135,558.5568952,5.791712761,45,43,93,29.61
25-03-2018 9.50,543.655599,508.8931716,5.630346934,46,43,87,29.61
25-03-2018 10.20,565.724589,498.5250645,5.543980122,48,45,87,29.61
25-03-2018 10.50,873.8198445,803.3295687,6.484092871,50,45,82,29.64
25-03-2018 11.20,683.1537679,642.0883936,6.044776758,50,45,82,29.64
25-03-2018 11.50,1049.799866,1025.586847,6.864687284,50,45,82,29.64
25-03-2018 12.20,309.655604,308.5601322,4.868840694,50,46,87,29.64
25-03-2018 12.50,675.4199219,634.3243956,5.958515962,50,46,87,29.64
25-03-2018 13.20,1751.755493,1810.321945,8.205585956,50,46,87,29.64
25-03-2018 13.50,1589.725993,1584.766316,8.094387372,52,46,82,29.64
25-03-2018 14.20,737.7802123,778.1964861,6.299828211,52,46,82,29.64
25-03-2018 14.50,228.8304494,247.1873684,4.53264459,50,46,87,29.64
25-03-2018 15.20,278.0538737,330.8888387,4.961190065,48,46,93,29.64
25-03-2018 15.50,427.4791413,464.4618424,5.410327753,48,45,87,29.64
25-03-2018 16.20,1081.559977,1140.202877,7.142311255,48,45,87,29.67
25-03-2018 16.50,638.0654857,653.2687013,5.913551013,48,45,87,29.67
25-03-2018 17.20,1064.525497,1208.131426,7.058118343,48,45,87,29.67
25-03-2018 17.50,1010.005758,1064.335645,7.049226761,48,45,87,29.67
25-03-2018 18.20,2576.387614,2781.005208,10.03052966,48,45,87,29.67
25-03-2018 18.50,2447.242025,2777.849805,10.00646528,46,45,93,29.67
25-03-2018 19.20,2557.808024,2761.200175,9.963832854,46,45,93,29.7
25-03-2018 19.50,3114.636963,3294.289595,11.38225682,48,45,87,29.7
25-03-2018 20.20,3571.177328,3583.781629,12.65868982,48,45,87,29.7
25-03-2018 20.50,3553.761393,3533.137103,12.41623656,46,45,93,29.7
25-03-2018 21.20,3523.967285,3581.178877,12.56833299,46,45,93,29.7
25-03-2018 21.50,3484.510335,3573.288181,12.45182005,46,45,93,29.7
25-03-2018 22.20,3078.1014,3317.048895,11.49897321,48,45,87,29.72
25-03-2018 22.50,3602.563314,3600,13.11231327,46,45,93,29.72
25-03-2018 23.20,3604.028076,3600,13.44187323,46,45,93,29.72
25-03-2018 23.50,3489.274007,3529.961728,12.24194654,46,45,93,29.72
26-03-2018 0.20,3595.652995,3595.82214,13.34364033,48,45,87,29.7
26-03-2018 0.50,3604.074056,3600,15.02706019,48,46,93,29.7
26-03-2018 1.20,3604.107666,3600,16.0731535,48,46,93,29.7
26-03-2018 1.50,3603.972005,3600,15.67563693,48,45,87,29.67
26-03-2018 2.20,3603.939291,3600,15.20517349,48,46,93,29.67
26-03-2018 2.50,3604.084961,3600,15.06389332,50,43,88,29.64
26-03-2018 3.20,3603.916016,3600,16.36071332,50,43,88,29.64
26-03-2018 3.50,3604.120606,3600,15.93270969,50,45,82,29.64
26-03-2018 4.20,3603.891357,3600,16.06026014,50,45,82,29.64
26-03-2018 4.50,3603.809652,3600,16.30514654,50,45,82,29.61
26-03-2018 5.20,3604.070964,3600,16.14485041,48,45,87,29.61
26-03-2018 5.50,3603.846029,3600,15.11184661,50,43,76,29.61
26-03-2018 5.50,3603.846029,3600,15.11184661,54,43,67,29.61
26-03-2018 6.20,3603.755371,3600,14.90513357,48,45,87,29.61
26-03-2018 6.20,3603.755371,3600,14.90513357,55,41,58,29.61
26-03-2018 6.50,3603.726644,3600,14.42542012,55,41,58,29.61
26-03-2018 7.20,3603.748291,3600,14.67986647,55,43,63,29.61
26-03-2018 7.50,3603.631348,3600,14.82068348,57,41,55,29.61
26-03-2018 8.20,3600.129964,3600,14.90565014,57,41,55,29.61
26-03-2018 8.50,3517.999024,3594.748752,13.39564991,59,41,51,29.61
26-03-2018 9.20,3313.573649,3406.699308,12.54123656,59,41,51,29.61
26-03-2018 9.50,3431.517985,3566.037143,12.72320016,61,41,48,29.61
26-03-2018 10.20,3037.296712,3225.824834,11.3569231,61,41,48,29.61
26-03-2018 10.50,1083.661771,2438.520966,9.456369718,61,39,45,29.58
26-03-2018 11.20,1619.245972,1873.909966,8.558940411,63,39,42,29.58
26-03-2018 11.50,117.9814046,879.7741743,6.629981677,63,39,42,29.58
26-03-2018 12.20,89.09472912,151.4066147,4.10218358,66,41,40,29.58
26-03-2018 12.50,98.12295486,154.4142955,4.087538401,66,41,40,29.55
26-03-2018 13.20,268.3310038,351.826858,5.061127345,68,41,37,29.55
26-03-2018 13.50,124.8212128,222.9003934,4.467567364,68,39,35,29.55
26-03-2018 14.20,525.0431722,526.1550942,5.631917,68,39,35,29.55
26-03-2018 14.50,624.6087545,653.3109509,6.053036054,64,43,45,29.55
26-03-2018 15.20,717.9131673,763.7239266,6.360910893,64,37,37,29.55
26-03-2018 15.50,720.3968913,744.1951004,6.309740226,64,36,34,29.55
26-03-2018 16.20,785.2567545,1824.582658,8.481231371,64,36,34,29.52
26-03-2018 17.20,1934.177938,2319.136897,9.280122757,63,39,42,29.52
26-03-2018 17.50,1115.849426,1172.333483,7.308342934,64,36,34,29.52
26-03-2018 18.20,964.1794636,1128.46628,7.219144662,61,39,45,29.49
26-03-2018 18.50,823.2168172,1028.291004,7.017838001,63,39,42,29.49
26-03-2018 19.20,1085.279419,1115.500949,7.159958204,61,41,48,29.49
26-03-2018 19.50,1665.077311,1850.04161,8.526647568,61,39,45,29.49
26-03-2018 20.20,2311.354655,2569.340402,9.67599678,57,43,59,29.49
26-03-2018 20.50,2948.474935,3332.313486,11.19139671,57,43,59,29.49
26-03-2018 21.20,3076.404297,3387.031182,11.37239647,54,43,67,29.49
26-03-2018 21.50,3332.58667,3507.849184,11.97222996,54,43,67,29.49
26-03-2018 22.20,3591.282389,3598.531957,13.46520297,54,43,67,29.49
26-03-2018 22.50,3603.176351,3600,15.12586308,52,43,71,29.49
26-03-2018 23.20,3602.53361,3600,16.06204605,54,41,62,29.49
26-03-2018 23.50,3556.844727,3600,14.63023345,55,41,58,29.46
27-03-2018 0.20,2928.421386,3170.152147,11.3389403,52,41,67,29.46
27-03-2018 0.50,2448.635905,3367.918762,11.35558669,54,41,62,29.46
27-03-2018 1.20,2548.195272,3244.293817,11.35766442,52,41,67,29.46
27-03-2018 1.50,3599.129638,3600,17.49669011,54,41,62,29.46
27-03-2018 2.20,3602.602946,3600,14.87453651,57,39,51,29.49
27-03-2018 2.50,3598.676677,3600,14.24014664,50,43,88,29.64
27-03-2018 3.20,3593.378337,3600,13.60527039,50,43,88,29.64
27-03-2018 3.50,3603.017415,3600,16.77659988,55,43,63,29.49
27-03-2018 4.20,3602.977376,3600,17.38231977,54,45,72,29.52
27-03-2018 4.50,3603.572021,3600,17.49446615,54,46,77,29.52
27-03-2018 5.20,3603.714681,3600,16.88600667,50,48,94,29.55
27-03-2018 5.50,3603.244303,3600,14.72167333,50,48,94,29.55
27-03-2018 6.20,3587.897705,3598.235442,13.07852014,50,48,94,29.55
27-03-2018 6.50,3595.337647,3598.270985,12.96039009,50,46,87,29.55
27-03-2018 7.20,3426.579102,3487.72299,11.80762323,50,48,94,29.55
27-03-2018 7.50,2651.563314,2801.918518,10.12358062,52,48,88,29.55
27-03-2018 8.20,2627.778036,2795.574093,10.32219887,54,48,82,29.55
27-03-2018 8.50,3150.731364,3456.866826,11.73042011,55,48,77,29.55
27-03-2018 9.20,2937.894938,3239.762918,10.99333668,57,48,72,29.55
27-03-2018 9.50,3121.562663,3416.530906,11.77597332,59,48,67,29.55
27-03-2018 10.20,2950.243653,3296.147862,11.08703963,57,48,72,29.55
27-03-2018 10.50,3300.041016,3546.138843,12.17155679,61,46,59,29.55
27-03-2018 11.20,3160.946696,3358.777952,11.9385732,61,45,55,29.55
27-03-2018 11.50,3024.858642,3302.049629,11.1943601,63,46,55,29.52
27-03-2018 12.20,2086.857951,2335.194305,9.293497721,64,46,52,29.52
27-03-2018 12.50,2358.270955,2504.020209,9.646632513,64,45,49,29.52
27-03-2018 13.20,3061.089681,3150.409691,11.68751558,64,46,52,29.52
27-03-2018 13.50,2814.707316,2909.280133,10.9510177,64,46,52,29.49
27-03-2018 14.20,1115.133199,1138.313016,7.192910671,64,46,52,29.49
27-03-2018 14.50,1785.864298,1790.958196,8.427701155,64,45,49,29.49
27-03-2018 15.20,2191.059001,2270.789988,9.267917952,66,46,49,29.49
27-03-2018 15.50,1883.26001,1957.640039,8.66351509,61,46,59,29.49
27-03-2018 16.20,1891.611695,1879.890064,8.578219414,55,50,82,29.52
27-03-2018 16.50,2852.649007,3018.953963,10.48311043,55,50,82,29.52
27-03-2018 17.20,3564.238037,3564.089794,12.67501005,54,48,82,29.52
27-03-2018 17.50,3372.297445,3421.094021,11.52151331,52,48,88,29.55
27-03-2018 18.20,2570.312663,2581.558169,10.02017593,55,48,77,29.52
27-03-2018 18.50,2191.825684,2247.438945,9.158542951,52,48,88,29.55
27-03-2018 19.20,2645.116292,2814.116114,10.07790534,52,48,88,29.55
27-03-2018 19.50,1337.259277,1385.162536,7.658169111,52,48,88,29.55
27-03-2018 20.20,1403.434977,1386.160386,7.709030946,52,48,88,29.55
27-03-2018 20.50,919.414327,1810.769278,8.463232676,52,50,94,29.58
27-03-2018 23.20,412.5901286,834.572515,6.571171761,52,50,94,29.58
27-03-2018 23.50,767.0322673,995.3831071,6.94593668,50,48,94,29.58
28-03-2018 0.20,918.6998291,1135.357001,7.252637068,48,46,93,29.58
28-03-2018 0.50,1204.273682,1495.912374,7.937481245,48,46,93,29.58
28-03-2018 1.20,1168.019287,1474.495074,7.893337726,48,46,93,29.58
28-03-2018 1.50,692.3256633,891.4990227,6.7105786,48,46,93,29.58
28-03-2018 2.20,645.3812256,787.7255624,6.446616332,46,46,100,29.58
28-03-2018 2.50,414.3232015,533.6532046,5.709711075,50,43,88,29.64
28-03-2018 3.20,497.3709411,664.30741,6.117070039,50,43,88,29.64
28-03-2018 3.50,316.8786621,413.751579,5.280996641,46,46,100,29.58
28-03-2018 4.20,515.6640218,671.5784803,6.097428322,46,46,100,29.58
28-03-2018 4.50,464.7698568,579.3927738,5.859108607,46,45,93,29.58
28-03-2018 5.20,655.2082011,817.5487737,6.508592288,46,45,93,29.58
28-03-2018 5.50,145.3759664,162.8544363,4.163791656,46,45,93,29.55
28-03-2018 6.20,7.970099767,7.737869017,2.595204671,46,45,93,29.55
28-03-2018 6.50,24.98415311,16.50472559,2.920497974,46,45,93,29.55
28-03-2018 7.20,15.51207733,48.95529107,3.138984283,46,45,93,29.55
28-03-2018 7.50,28.16468777,30.29833478,2.71776541,46,46,100,29.55
28-03-2018 8.20,3.86460336,11.81341811,2.841451645,46,46,100,29.55
28-03-2018 8.50,135.627737,140.4277411,3.685502291,48,46,93,29.55
28-03-2018 9.20,5.084313393,0,2.321416616,48,46,93,29.55
28-03-2018 9.50,0,0,2.296656688,48,46,93,29.52
28-03-2018 10.20,0,0,2.782860041,50,46,87,29.52
28-03-2018 10.50,0,0,2.221380313,50,46,87,29.52
28-03-2018 11.20,0,0,2.490506967,50,46,87,29.49
28-03-2018 14.20,217.3158671,667.8648195,6.072904587,52,46,82,29.46
28-03-2018 14.50,578.7192586,752.079145,6.351408322,52,48,88,29.46
28-03-2018 15.20,711.5759481,938.0236041,6.814815998,50,46,87,29.43
28-03-2018 15.50,647.415507,713.7898326,6.243461609,50,46,87,29.43
28-03-2018 16.20,996.0717774,991.3362239,6.935968399,50,46,87,29.43
28-03-2018 16.50,1050.75236,1056.120733,7.077974002,48,46,93,29.43
28-03-2018 17.20,1424.423014,1409.169144,7.750290712,48,46,93,29.43
28-03-2018 17.50,1599.647664,1648.666944,8.197834651,48,45,87,29.43
28-03-2018 18.20,2581.143636,2631.965812,9.770471573,46,45,93,29.46
28-03-2018 18.50,1991.70699,1955.050264,8.703689893,46,45,93,29.43
28-03-2018 19.20,2364.565023,2402.265676,9.402138074,46,45,93,29.46
28-03-2018 19.50,2221.031413,2120.476436,8.96233209,46,45,93,29.43
28-03-2018 20.20,2337.743327,2353.758177,9.325551351,46,45,93,29.46
28-03-2018 20.50,2179.375732,2201.643672,9.086323102,46,45,93,29.43
28-03-2018 21.20,1926.849691,1747.034484,8.364309629,46,45,93,29.46
28-03-2018 21.50,1879.407308,1855.215497,8.529580434,46,45,93,29.46
28-03-2018 22.20,2695.283692,2811.46558,10.06480249,46,43,87,29.46
28-03-2018 22.50,2867.711019,2861.957643,10.11832683,45,45,100,29.46
28-03-2018 23.20,2718.269287,2843.648724,10.19174576,45,43,93,29.46
28-03-2018 23.50,2746.827393,2635.039456,9.777124087,45,43,93,29.43
29-03-2018 0.20,2848.608968,2939.102683,10.29049842,45,43,93,29.43
29-03-2018 0.50,2954.5507,2936.899196,10.25911681,45,43,93,29.4
29-03-2018 1.20,3165.829997,3302.301755,11.10739009,45,43,93,29.4
29-03-2018 1.50,2961.729004,3099.425494,10.60062631,45,43,93,29.4
29-03-2018 2.20,3341.375651,3245.568264,10.95486991,45,43,93,29.4
29-03-2018 2.50,3388.015706,3392.461764,11.39306991,50,43,88,29.64
29-03-2018 3.20,3511.036051,3405.897372,11.48139699,50,43,88,29.64
29-03-2018 3.50,3599.505615,3598.453109,13.36566035,45,43,93,29.37
29-03-2018 4.20,3585.48999,3599.054892,13.17173354,45,43,93,29.37
29-03-2018 4.50,3291.170736,3381.360074,11.63211664,45,43,93,29.4
29-03-2018 5.20,3481.203369,3545.57232,12.22609329,43,41,93,29.37
29-03-2018 5.50,3213.718669,3466.408766,11.74894333,43,41,93,29.37
29-03-2018 6.20,2963.808024,3158.702738,10.83476321,43,41,93,29.37
29-03-2018 6.50,3151.10262,3393.010495,11.46622658,45,41,87,29.37
29-03-2018 7.20,2679.110351,2866.669038,10.16433525,43,41,93,29.4
29-03-2018 7.50,2421.52832,2410.273391,9.416065852,43,41,93,29.4
29-03-2018 8.20,2002.950358,1790.224847,8.434098244,43,41,93,29.4
29-03-2018 8.50,2740.230713,2873.713487,10.16785304,45,41,87,29.4
29-03-2018 9.20,2523.316976,2493.984681,9.559160868,45,41,87,29.4
29-03-2018 9.50,2784.985026,2842.675502,10.12829399,45,41,87,29.43
