Date,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh)
02-03-2018 2.10,3602.762939,18.57218933,3600
02-03-2018 2.20,3602.63208,19.45853996,3600
02-03-2018 2.30,3602.49292,18.21965027,3600
02-03-2018 2.40,3602.428955,18.90406036,3600
02-03-2018 2.50,3602.313965,19.20782089,3600
02-03-2018 3.00,3602.337891,17.88343048,3600
02-03-2018 3.10,3602.36499,19.32666016,3600
02-03-2018 3.20,3602.322998,19.0104599,3600
02-03-2018 3.30,3602.643066,19.14290047,3600
02-03-2018 3.40,3602.798096,19.34184074,3600
02-03-2018 3.50,3602.875,19.47039986,3600
02-03-2018 4.00,3602.876953,19.72878075,3600
02-03-2018 4.10,3602.782959,19.20144081,3600
02-03-2018 4.20,3602.785889,19.22205925,3600
02-03-2018 4.30,3603.039063,19.71910095,3600
02-03-2018 4.40,3603.055908,19.79977989,3600
02-03-2018 4.50,3602.62207,19.89149094,3600
02-03-2018 5.00,3602.690918,19.69747925,3600
02-03-2018 5.10,3602.712891,19.40447998,3600
02-03-2018 5.20,3602.394043,19.49505997,3600
02-03-2018 5.30,3602.27002,19.75939941,3600
02-03-2018 5.40,3602.558105,20.4930706,3600
02-03-2018 5.50,3602.533936,20.55344963,3600
02-03-2018 6.00,3602.604004,20.54285049,3600
02-03-2018 6.10,3602.459961,19.16366005,3600
02-03-2018 6.20,3602.499023,19.06818962,3600
02-03-2018 6.30,3602.143066,18.78507996,3600
02-03-2018 6.40,3602.065918,18.56229019,3600
02-03-2018 6.50,3602.418945,17.34830093,3600
02-03-2018 7.00,3602.701904,17.62274933,3600
02-03-2018 7.10,3602.593994,18.60573006,3600
02-03-2018 7.20,3603.009033,18.22542953,3600
02-03-2018 7.30,3602.829102,17.63862038,3600
02-03-2018 7.40,3602.437012,18.76409912,3600
02-03-2018 7.50,3602.487061,18.59609032,3600
02-03-2018 8.00,3602.131104,18.70334053,3600
02-03-2018 8.10,3602.019043,19.55822945,3600
02-03-2018 8.20,3602.218994,19.82154083,3600
02-03-2018 8.30,3601.804932,20.44037056,3600
02-03-2018 8.40,3602.35498,20.90732002,3600
02-03-2018 8.50,3602.206055,18.95442009,3600
02-03-2018 9.00,3602.386963,19.71632004,3600
02-03-2018 9.10,3602.250977,17.97843933,3600
02-03-2018 9.20,3602.115967,19.33942986,3600
02-03-2018 9.30,3602.169922,20.14310074,3600
02-03-2018 9.40,3602.231934,20.06883049,3600
02-03-2018 9.50,3601.998047,18.44034958,3600
02-03-2018 10.00,3602.686035,18.50139999,3600
02-03-2018 10.10,3602.38501,15.18682003,3600
02-03-2018 10.20,3600.576904,15.0424099,3600
02-03-2018 10.30,3602.564941,16.55257988,3600
02-03-2018 10.40,3602.541016,16.96879005,3600
02-03-2018 10.50,3602.917969,17.17085075,3600
02-03-2018 11.00,3603.023926,16.84690094,3600
02-03-2018 11.10,3602.831055,15.44019032,3600
02-03-2018 11.20,3602.445068,15.5402298,3600
02-03-2018 11.30,3602.764893,17.71718979,3600
02-03-2018 11.40,3602.769043,17.50344086,3600
02-03-2018 11.50,3602.425049,17.81847,3600
02-03-2018 12.00,3602.739014,17.53655052,3600
02-03-2018 12.10,3602.092041,17.32374001,3600
02-03-2018 12.20,3602.476074,20.63264084,3600
02-03-2018 12.30,3602.541992,20.22648048,3600
02-03-2018 12.40,3602.156982,18.97341919,3600
02-03-2018 12.50,3601.741943,18.17514038,3600
02-03-2018 13.00,3601.861084,18.57298088,3600
02-03-2018 13.10,3601.961914,18.06781006,3600
02-03-2018 13.20,3602.125977,17.71076965,3600
02-03-2018 13.30,3602.156006,16.43629074,3600
02-03-2018 13.40,3600.39209,14.29397964,3600
02-03-2018 13.50,3602.149902,14.95726967,3600
02-03-2018 14.00,3602.272949,17.96224022,3600
02-03-2018 14.10,3601.666992,19.51202011,3600
02-03-2018 14.20,3602.137939,18.29809952,3600
02-03-2018 14.30,3602.465088,18.23413086,3600
02-03-2018 14.40,3602.371094,19.21117973,3600
02-03-2018 14.50,3602.424072,18.83754921,3600
02-03-2018 15.00,3602.581055,19.01184082,3600
02-03-2018 15.10,3602.750977,19.36916924,3600
02-03-2018 15.20,3602.295898,19.79294014,3600
02-03-2018 15.30,3602.499023,17.65456009,3600
02-03-2018 15.40,3602.102051,18.24625969,3600
02-03-2018 15.50,3602.529053,19.56874084,3600
02-03-2018 16.00,3602.345947,18.05236053,3600
02-03-2018 16.10,3602.031006,17.93153,3600
02-03-2018 16.20,3602.268066,18.50091934,3600
02-03-2018 16.30,3602.012939,19.92024994,3600
02-03-2018 16.40,3602.576904,19.92601967,3600
02-03-2018 16.50,3602.717041,20.1593895,3600
02-03-2018 17.00,3602.24292,20.20129013,3600
02-03-2018 17.10,3601.811035,20.34436035,3600
02-03-2018 17.20,3602.437988,18.53167915,3600
02-03-2018 17.30,3602.178955,20.9361496,3600
02-03-2018 17.40,3602.196045,19.76913071,3600
02-03-2018 17.50,3602.528076,19.35729027,3600
02-03-2018 18.00,3602.441895,18.60956001,3600
02-03-2018 18.10,3602.511963,18.84515953,3600
02-03-2018 18.20,3602.281006,18.38311005,3600
02-03-2018 18.30,3601.410889,17.44568062,3600
02-03-2018 18.40,3601.641113,21.94574928,3600
02-03-2018 18.50,3601.86499,22.9490509,3600
02-03-2018 19.00,3602.185059,21.60074997,3600
02-03-2018 19.10,3602.141113,21.1869297,3600
02-03-2018 19.20,3601.304932,20.12486076,3600
02-03-2018 19.30,3601.61499,19.39373016,3600
02-03-2018 19.40,3601.480957,20.9726696,3600
02-03-2018 19.50,3601.458984,20.20754051,3600
02-03-2018 20.00,3601.809082,21.70255089,3600
02-03-2018 20.10,3601.738037,22.50573921,3600
02-03-2018 20.20,3601.912109,22.90702057,3600
02-03-2018 20.30,3602.409912,21.08602905,3600
02-03-2018 20.40,3602.082031,20.7176609,3600
02-03-2018 20.50,3601.803955,21.10367966,3600
02-03-2018 21.00,3602.054932,21.88081932,3600
02-03-2018 21.10,3601.679932,22.54704094,3600
02-03-2018 21.20,3601.094971,22.82368088,3600
02-03-2018 21.30,3601.948975,20.61584091,3600
02-03-2018 21.40,3602.324951,20.41954041,3600
02-03-2018 21.50,3602.394043,22.91988945,3600
02-03-2018 22.00,3602.656982,21.81892967,3600
02-03-2018 22.10,3602.25293,22.98251915,3600
02-03-2018 22.20,3602.058105,23.18666077,3600
02-03-2018 22.30,3602.120117,22.94248009,3600
02-03-2018 22.40,3602.022949,24.58703041,3600
02-03-2018 22.50,3601.618896,23.60680962,3600
02-03-2018 23.00,3601.610107,24.03886032,3600
02-03-2018 23.10,3602.086914,23.89819908,3600
02-03-2018 23.20,3601.940918,24.08365059,3600
02-03-2018 23.30,3602.136963,23.14518929,3600
02-03-2018 23.40,3601.749023,23.5803299,3600
02-03-2018 23.50,3601.863037,23.5320797,3600
03-03-2018 0.00,3461.310059,17.18486023,3600
03-03-2018 0.10,3461.810059,16.81135941,3600
03-03-2018 0.20,3461.915039,16.55920982,3600
03-03-2018 0.30,3462.047119,16.98160934,3600
03-03-2018 0.40,3462.009033,16.78869057,3600
03-03-2018 0.50,3461.446045,15.53783035,3600
03-03-2018 1.00,3461.853027,16.36870003,3600
03-03-2018 1.10,3461.645996,17.65777969,3600
03-03-2018 1.20,3462.074951,18.48111916,3600
03-03-2018 1.30,3461.77002,18.05500031,3600
03-03-2018 1.40,3461.537109,18.28792953,3600
03-03-2018 1.50,3461.733887,18.38260078,3600
03-03-2018 2.00,3461.860107,19.37449074,3600
03-03-2018 2.10,3462.1521,19.69168091,3600
03-03-2018 2.20,3462.034912,19.40957069,3600
03-03-2018 2.30,3461.687012,19.31011963,3600
03-03-2018 2.40,3461.366943,19.59973907,3600
03-03-2018 2.50,3462.022949,20.19400024,3600
03-03-2018 3.00,3461.955078,20.36763,3600
03-03-2018 3.10,3461.930908,19.81409073,3600
03-03-2018 3.20,3461.738037,19.50760078,3600
03-03-2018 3.30,3461.709961,19.48295975,3600
03-03-2018 3.40,3496.556885,18.73879051,3600
03-03-2018 3.50,3558.849121,19.8819294,3600
03-03-2018 4.00,3461.579102,20.07088089,3600
03-03-2018 4.10,3461.868896,21.24315071,3600
03-03-2018 4.20,3461.554932,20.53470993,3600
03-03-2018 4.30,3461.797119,20.91691971,3600
03-03-2018 4.40,3461.804932,20.4184494,3600
03-03-2018 4.50,3461.676025,20.15060997,3600
03-03-2018 5.00,3461.829102,19.64505005,3600
03-03-2018 5.10,3461.573975,19.43224907,3600
03-03-2018 5.20,3462.4021,18.75229073,3600
03-03-2018 5.30,3462.187012,18.65876961,3600
03-03-2018 5.40,3462.197021,19.00008011,3600
03-03-2018 5.50,3462.677979,18.63961029,3600
03-03-2018 6.00,3462.535889,17.72001076,3600
03-03-2018 6.10,3462.343994,18.17152977,3600
03-03-2018 6.20,3462.434082,17.89849091,3600
03-03-2018 6.30,3506.219971,16.49188995,3600
03-03-2018 6.40,3601.934082,17.15225983,3600
03-03-2018 6.50,3601.86499,17.08939934,3600
03-03-2018 7.00,3601.250977,17.82184982,3600
03-03-2018 7.10,3601.697021,19.13524055,3600
03-03-2018 7.20,3586.155029,18.92325974,3600
03-03-2018 7.30,3462.025879,17.8536396,3600
03-03-2018 7.40,3462.281982,18.57298088,3600
03-03-2018 7.50,3462.363037,19.84630013,3600
03-03-2018 8.00,3462.405029,18.21696091,3600
03-03-2018 8.10,3462.488037,18.01844025,3600
03-03-2018 8.20,3499.625977,19.36590958,3600
03-03-2018 8.30,3517.72998,19.25152016,3600
03-03-2018 8.40,3461.861084,19.53236961,3600
03-03-2018 8.50,3463.23999,17.62495995,3600
03-03-2018 9.00,3482.512939,16.41587067,3600
03-03-2018 9.10,3521.316895,18.3517704,3600
03-03-2018 9.20,3474.2229,20.43840981,3600
03-03-2018 9.30,3475.51001,20.85214996,3600
03-03-2018 9.40,3462.580078,22.24537086,3600
03-03-2018 9.50,3528.508057,20.29846001,3600
03-03-2018 10.00,3462.226074,17.05084991,3600
03-03-2018 10.10,3462.379883,19.48879051,3600
03-03-2018 10.20,3463.230957,17.84968948,3600
03-03-2018 10.30,3463.206055,20.22448921,3600
03-03-2018 10.40,3466.179932,20.65612984,3600
03-03-2018 10.50,3474.256104,20.0874691,3600
03-03-2018 11.00,3472.787109,19.94426918,3600
03-03-2018 11.10,3514.87207,16.78482056,3600
03-03-2018 11.20,3529.697021,16.04582977,3600
03-03-2018 11.30,3319.753906,14.42018986,3600
03-03-2018 11.40,3591.7771,16.09506989,3600
03-03-2018 11.50,3577.674072,15.80020046,3600
03-03-2018 12.00,3596.860107,16.44922066,3600
03-03-2018 12.10,3598.49292,15.33541965,3600
03-03-2018 12.20,3557.106934,14.12343979,3600
03-03-2018 12.30,3405.866943,12.69962978,3591.044982
03-03-2018 12.40,3587.585938,15.23206997,3600
03-03-2018 12.50,3594.371094,16.23707962,3600
03-03-2018 13.00,3599.897949,14.83775043,3600
03-03-2018 13.10,3597.014893,14.93270016,3600
03-03-2018 13.20,3601.850098,15.64898968,3600
03-03-2018 13.30,3540.020996,16.40648079,3600
03-03-2018 13.40,3569.76001,13.89414024,3600
03-03-2018 13.50,3593.941895,15.61588955,3600
03-03-2018 14.00,3535.891113,13.70310974,3600
03-03-2018 14.10,3584.248047,14.17959976,3600
03-03-2018 14.20,3555.371094,13.60112,3600
03-03-2018 14.30,3589.51001,13.91818047,3600
03-03-2018 14.40,3600.961914,14.39066982,3600
03-03-2018 14.50,3600.697021,15.22577953,3600
03-03-2018 15.00,3602.504883,14.82761955,3600
03-03-2018 15.10,3572.398926,13.80550003,3600
03-03-2018 15.20,3602.583008,14.90275955,3600
03-03-2018 15.30,3597.179932,13.1964798,3600
03-03-2018 15.40,3514.729004,12.05463028,3530.190686
03-03-2018 15.50,3592.829102,13.13529968,3600
03-03-2018 16.00,3593.888916,12.91399956,3597.290672
03-03-2018 16.10,3548.789063,12.55113029,3582.754844
03-03-2018 16.20,3582.537109,12.75164032,3593.17486
03-03-2018 16.30,3542.118896,12.53328991,3581.53593
03-03-2018 16.40,3577.816895,13.15808964,3600
03-03-2018 16.50,3584.35791,13.76875019,3600
03-03-2018 17.00,3601.209961,14.53244972,3600
03-03-2018 17.10,3589.062988,13.7649498,3600
03-03-2018 17.20,3272.968018,12.06826019,3532.167854
03-03-2018 17.30,3276.88208,11.70503998,3468.440982
03-03-2018 17.40,3576.329102,12.57993031,3584.620911
03-03-2018 17.50,3602.966064,14.23153019,3600
03-03-2018 18.00,3602.7771,14.92024994,3600
03-03-2018 18.10,3602.73999,15.41843033,3600
03-03-2018 18.20,3602.826904,16.11594009,3600
03-03-2018 18.30,3602.437988,16.34070015,3600
03-03-2018 18.40,3602.712891,15.55558014,3600
03-03-2018 18.50,3603.176025,14.1993103,3600
03-03-2018 19.00,3603.437012,14.42335033,3600
03-03-2018 19.10,3603.129883,14.61781979,3600
03-03-2018 19.20,3603.054932,15.69192028,3600
03-03-2018 19.30,3602.937012,16.79972076,3600
03-03-2018 19.40,3603.103027,16.46715927,3600
03-03-2018 19.50,3602.60791,16.2436409,3600
03-03-2018 20.00,3602.978027,16.27524948,3600
03-03-2018 20.10,3603.022949,16.8705101,3600
03-03-2018 20.20,3602.897949,17.34577942,3600
03-03-2018 20.30,3603.263916,17.14312935,3600
03-03-2018 20.40,3603.206055,16.7895298,3600
03-03-2018 20.50,3602.885986,16.72105026,3600
03-03-2018 21.00,3603.212891,16.67675018,3600
03-03-2018 21.10,3602.851074,17.20038033,3600
03-03-2018 21.20,3602.667969,16.88022995,3600
03-03-2018 21.30,3602.620117,17.00731087,3600
03-03-2018 21.40,3602.790039,16.34837914,3600
03-03-2018 21.50,3602.720947,16.66904068,3600
03-03-2018 22.00,3602.416016,15.76422977,3600
03-03-2018 22.10,3602.407959,14.9682703,3600
03-03-2018 22.20,3602.895996,14.84514046,3600
03-03-2018 22.30,3602.922119,15.21669006,3600
03-03-2018 22.40,3603.248047,14.12485981,3600
03-03-2018 22.50,3556.468994,12.66466045,3589.38875
03-03-2018 23.00,3582.718994,12.70098019,3591.105315
03-03-2018 23.10,3447.384033,12.02363014,3525.57678
03-03-2018 23.20,2847.954102,10.28495979,2956.927451
03-03-2018 23.30,3282.812988,11.53271961,3429.800865
03-03-2018 23.40,3603.108887,15.57427025,3600
03-03-2018 23.50,3603.070068,17.02457047,3600
04-03-2018 0.00,340.3387146,5.270671844,405.3845148
04-03-2018 0.10,405.5137024,5.428977013,448.7990049
04-03-2018 0.20,361.9591064,5.351882935,427.3832631
04-03-2018 0.30,189.0771942,4.320841789,185.0102339
04-03-2018 0.40,328.6193848,5.162168026,376.8610094
04-03-2018 0.50,346.9921875,5.388003826,437.3517141
04-03-2018 1.00,365.2713013,5.387293816,437.1546626
04-03-2018 1.10,413.0754089,5.58698988,494.3757003
04-03-2018 1.20,281.4726868,5.06811285,352.9106508
04-03-2018 1.30,228.8735962,4.671339035,259.1739342
04-03-2018 1.40,235.3036041,4.769049168,281.2238436
04-03-2018 1.50,237.9250031,4.645644188,253.480505
04-03-2018 2.00,170.9290924,4.341954231,189.275061
04-03-2018 2.10,41.57666016,3.447556019,46.3463038
04-03-2018 2.20,0.734001815,2.746315956,0
04-03-2018 2.30,0,3.130613089,21.54440115
04-03-2018 2.40,0,2.477240086,0
04-03-2018 2.50,0,3.055141926,18.00779218
04-03-2018 3.00,0,2.749140978,0
04-03-2018 3.10,0,3.124804974,21.23986167
04-03-2018 3.20,0,3.15222311,22.72488955
04-03-2018 3.30,0,3.561444044,59.18376259
04-03-2018 3.40,0,2.843389034,0
04-03-2018 3.50,0,2.380991936,0
04-03-2018 4.00,0,2.147310972,0
04-03-2018 4.10,0,2.86093092,0
04-03-2018 4.20,0,2.721481085,0
04-03-2018 4.30,0,3.033427,17.15905315
04-03-2018 4.40,0,2.955980062,0
04-03-2018 4.50,0,3.005168915,16.16754269
04-03-2018 5.00,0,3.284970999,31.61574957
04-03-2018 5.10,0,3.305143118,33.21356557
04-03-2018 5.20,0,2.633990049,0
04-03-2018 5.30,0,2.825525045,0
04-03-2018 5.40,0,2.827579975,0
04-03-2018 5.50,0,2.902312994,0
04-03-2018 6.00,0,2.358599901,0
04-03-2018 6.10,0,2.076347113,0
04-03-2018 6.20,0,1.888152957,0
04-03-2018 6.30,0,2.171221972,0
04-03-2018 6.40,0,2.613764048,0
04-03-2018 6.50,0,2.355432987,0
04-03-2018 7.00,0,2.384377956,0
04-03-2018 7.10,0,1.699023962,0
04-03-2018 7.20,0,1.950001955,0
04-03-2018 7.30,0,2.206700087,0
04-03-2018 7.40,0,2.455682993,0
04-03-2018 7.50,0,2.299894094,0
04-03-2018 8.00,0,2.359411001,0
04-03-2018 8.10,0,2.498795986,0
04-03-2018 8.20,0,2.680728912,0
04-03-2018 8.30,0,1.984442949,0
04-03-2018 8.40,0,2.276036024,0
04-03-2018 8.50,0,2.211699963,0
04-03-2018 9.00,0,2.228240967,0
04-03-2018 9.10,0,2.486807108,0
04-03-2018 9.20,0,2.274876118,0
04-03-2018 9.30,0,2.002410889,0
04-03-2018 9.40,0,2.178625107,0
04-03-2018 9.50,0,1.875105023,0
04-03-2018 10.00,0,2.047100067,0
04-03-2018 10.10,0,1.622558951,0
04-03-2018 10.20,0,1.827870011,0
04-03-2018 10.30,0,1.957429051,0
04-03-2018 10.40,0,1.959020019,0
04-03-2018 10.50,0,2.064769983,0
04-03-2018 11.00,0,2.523562908,0
04-03-2018 11.10,0,2.729590893,0
04-03-2018 11.20,0,3.184845924,24.64851084
04-03-2018 11.30,0,2.486382008,0
04-03-2018 11.40,0,2.665400028,0
04-03-2018 11.50,0,2.560211897,0
04-03-2018 12.00,0,2.748635054,0
04-03-2018 12.10,0,2.917690039,0
04-03-2018 12.20,0,3.203226089,25.80730234
04-03-2018 12.30,0,3.002924919,16.09428182
04-03-2018 12.40,0,2.874059916,0
04-03-2018 12.50,0,2.562885046,0
04-03-2018 13.00,0,2.756452084,0
04-03-2018 13.10,0,2.886327028,0
04-03-2018 13.20,0,2.478013039,0
04-03-2018 13.30,0,2.477103949,0
04-03-2018 13.40,0,2.381879091,0
04-03-2018 13.50,0,3.068892002,18.5842327
04-03-2018 14.00,3.412201881,3.641778946,69.4873435
04-03-2018 14.10,34.70843887,3.574574947,60.79730793
04-03-2018 14.20,20.6240406,3.057935953,18.12247647
04-03-2018 14.30,105.620903,4.089885235,139.8702512
04-03-2018 14.40,57.58628082,3.711306095,79.23830392
04-03-2018 14.50,38.78493881,3.584280968,62.00773091
04-03-2018 15.00,73.4994278,3.874582052,105.178127
04-03-2018 15.10,107.5442963,4.088961124,139.694921
04-03-2018 15.20,50.19432831,3.577539921,61.16546628
04-03-2018 15.30,-0.085066549,3.03884697,17.36382999
04-03-2018 15.40,0,3.577059031,61.10565895
04-03-2018 15.50,65.78569031,4.14307785,150.0306822
04-03-2018 16.00,90.97119141,3.986620903,125.4455334
04-03-2018 16.10,191.7682037,4.628068924,249.610822
04-03-2018 16.20,231.2052002,4.821743965,293.3852837
04-03-2018 16.30,140.8132935,4.290452957,178.9139146
04-03-2018 16.40,219.0630035,4.710686207,267.9764071
04-03-2018 16.50,315.4237061,5.263631821,403.5040342
04-03-2018 17.00,202.3381042,4.646193981,253.6018785
04-03-2018 17.10,152.9709015,4.366793156,194.3240358
04-03-2018 17.20,150.3426971,4.409255028,203.0351138
04-03-2018 17.30,159.9049072,4.478660107,217.4963759
04-03-2018 17.40,194.0852051,4.669085979,258.6729838
04-03-2018 17.50,181.7292938,4.555963993,233.9402809
04-03-2018 18.00,203.4055939,4.705030918,266.7049329
04-03-2018 18.10,168.6280975,4.482446194,218.2933679
04-03-2018 18.20,167.4192963,4.589385986,241.1632
04-03-2018 18.30,157.6383972,4.408335209,202.8453304
04-03-2018 18.40,181.6882935,4.617224216,247.232947
04-03-2018 18.50,233.0610962,4.70190382,266.0027842
04-03-2018 19.00,347.682312,5.354135036,428.0014425
04-03-2018 19.10,327.7637024,5.330001831,421.4001036
04-03-2018 19.20,287.2932129,5.075033188,354.64896
04-03-2018 19.30,196.4741058,4.545913219,231.7817345
04-03-2018 19.40,86.57993317,3.821408033,96.26194965
04-03-2018 19.50,85.20574951,4.073775768,136.8195365
04-03-2018 20.00,53.3993187,3.671336889,73.53823797
04-03-2018 20.10,0,3.515515089,53.75694741
04-03-2018 20.20,0,3.394918919,41.11428158
04-03-2018 20.30,40.44683838,3.93840003,116.4763703
04-03-2018 20.40,36.20608139,3.65367794,71.10128207
04-03-2018 20.50,24.76490974,3.423841953,43.93430261
04-03-2018 21.00,3.060600996,3.282885075,31.45423962
04-03-2018 21.10,0,3.781801939,89.9148038
04-03-2018 21.20,0,4.161819935,153.6431457
04-03-2018 21.30,0,4.00978899,124.8195958
04-03-2018 21.40,16.92832947,3.786216021,90.60976314
04-03-2018 21.50,26.26457977,3.553371906,58.20553833
04-03-2018 22.00,7.762384892,3.336772919,35.8500133
04-03-2018 22.10,0,3.257111073,29.51604261
04-03-2018 22.20,0,3.463962078,48.06765129
04-03-2018 22.30,0,2.909043074,0
04-03-2018 22.40,11.49020004,3.421165943,43.66777031
04-03-2018 22.50,88.8007431,4.027677059,128.1556544
04-03-2018 23.00,81.66722107,4.055633068,133.3981784
04-03-2018 23.10,81.09739685,4.013412952,125.4943001
04-03-2018 23.20,54.86869812,3.847626925,100.6017738
04-03-2018 23.30,90.77237701,4.040737152,130.600374
04-03-2018 23.40,74.87545776,3.927969933,114.5852935
04-03-2018 23.50,70.08825684,3.920824051,113.2997242
05-03-2018 0.00,0,2.103636026,0
05-03-2018 0.10,0,3.308691978,33.50140232
05-03-2018 0.20,0,2.985028982,0
05-03-2018 0.30,0,3.445625067,46.14653815
05-03-2018 0.40,0,2.926964998,0
05-03-2018 0.50,0,2.760037899,0
05-03-2018 1.00,0,3.265010118,30.09875282
05-03-2018 1.10,21.1565094,3.962485075,120.909724
05-03-2018 1.20,52.71836853,4.026769161,127.9859903
05-03-2018 1.30,30.52820969,3.673124075,73.78765202
05-03-2018 1.40,0,3.301357985,32.90878629
05-03-2018 1.50,0,3.772097111,88.39782342
05-03-2018 2.00,5.887399197,3.643124104,69.66866032
05-03-2018 2.10,108.0270996,4.194945812,160.0704093
05-03-2018 2.20,236.5399017,4.893538952,310.2699187
05-03-2018 2.30,394.6989136,5.590552807,495.4301882
05-03-2018 2.40,420.5853882,6.011249065,627.793113
05-03-2018 2.50,299.2807922,5.256235123,401.5327896
05-03-2018 3.00,263.5466003,5.110146999,363.5272278
05-03-2018 3.10,142.8125,4.09857893,141.5216568
05-03-2018 3.20,24.09174919,3.130280018,21.52679122
05-03-2018 3.30,82.58740997,3.651381969,70.78810063
05-03-2018 3.40,252.405899,4.805595875,289.637937
05-03-2018 3.50,119.428299,3.850680113,101.114296
05-03-2018 4.00,171.9900055,4.040225983,130.5045433
05-03-2018 4.10,349.2973938,4.753499031,277.671641
05-03-2018 4.20,369.6953125,4.743320942,275.3555302
05-03-2018 4.30,451.9154968,5.163015842,377.0801251
05-03-2018 4.40,990.690918,7.341170788,1177.281086
05-03-2018 4.50,953.8527832,7.635410786,1328.640063
05-03-2018 5.00,645.2523193,6.25360918,712.9391216
05-03-2018 5.10,300.0042114,4.43560791,208.4930389
05-03-2018 5.20,181.726593,4.36997509,194.9732978
05-03-2018 5.30,0,4.932759762,319.6510955
05-03-2018 5.40,0,5.627260208,506.3645535
05-03-2018 5.50,77.2525177,5.341762066,424.6106443
05-03-2018 6.00,764.5319214,5.877137184,584.3190881
05-03-2018 6.10,390.5838013,4.82456398,294.0415763
05-03-2018 6.20,397.5075073,4.882980824,307.7636903
05-03-2018 6.30,463.6859131,5.188426971,383.674741
05-03-2018 6.40,455.5472107,5.477159977,462.4534946
05-03-2018 6.50,220.9839935,6.700759888,886.7876718
05-03-2018 7.00,0,5.835813999,570.9923615
05-03-2018 7.10,0,5.107927799,362.9632313
05-03-2018 7.20,0,5.005268097,337.2948519
05-03-2018 7.30,0,6.04698801,639.9541788
05-03-2018 7.40,0,5.739627838,540.6479602
05-03-2018 7.50,0,5.477519035,462.5560385
05-03-2018 8.00,0,6.565826893,831.981351
05-03-2018 8.10,0,6.250194073,711.6956273
05-03-2018 8.20,0,6.77495718,917.8203439
05-03-2018 8.30,0,5.979351997,618.0515816
05-03-2018 8.40,0,5.712668896,532.3097401
05-03-2018 8.50,0,5.688860893,525.0058177
05-03-2018 9.00,0,5.359965801,429.6039881
05-03-2018 9.10,0,4.431365967,207.6117914
05-03-2018 9.20,0,4.760613918,279.2948823
05-03-2018 9.30,0,4.720901012,270.2784079
05-03-2018 9.40,0,4.242845058,169.4618775
05-03-2018 9.50,0,4.521899223,226.6494689
05-03-2018 10.00,0,3.366091013,38.4367228
05-03-2018 10.10,0,2.996809006,0
05-03-2018 10.20,0,3.439152002,45.48122257
05-03-2018 10.30,7.176663876,3.599950075,63.99360982
05-03-2018 10.40,9.319084167,2.803060055,0
05-03-2018 10.50,15.52667046,3.212502956,26.41269512
05-03-2018 11.00,9.955459595,3.107326984,20.35599003
05-03-2018 11.10,0.412534088,2.986697912,0
05-03-2018 11.20,0,3.544156075,57.10146106
05-03-2018 11.30,45.58129883,3.584440947,62.02780789
05-03-2018 11.40,5.430397034,3.077645063,18.9669425
05-03-2018 11.50,4.324685097,2.932024002,0
05-03-2018 12.00,0,2.704829931,0
05-03-2018 12.10,15.34819984,3.924460888,113.9529831
05-03-2018 12.20,78.35630798,3.881644964,106.3964663
05-03-2018 12.30,94.00435638,3.964699984,121.3220841
05-03-2018 12.40,75.61501312,3.698273897,77.35167955
05-03-2018 12.50,102.6910019,4.020669937,126.8471511
05-03-2018 13.00,70.2249527,3.837555885,98.92177721
05-03-2018 13.10,160.1560974,4.486145973,219.0730147
05-03-2018 13.20,164.8822937,4.487074852,219.2688834
05-03-2018 13.30,315.8143921,5.29718399,412.5039968
05-03-2018 13.40,209.4725952,4.76623106,280.5788605
05-03-2018 13.50,204.772995,4.807312012,290.0353194
05-03-2018 14.00,325.0123901,5.648666859,512.8008043
05-03-2018 14.10,450.4996033,6.108109951,661.0687733
05-03-2018 14.20,542.5761108,6.365892887,754.5241004
05-03-2018 14.30,648.8822021,6.73191309,899.7388663
05-03-2018 14.40,663.1826782,6.738725185,902.5859196
05-03-2018 14.50,654.3447266,6.582853794,838.7831315
05-03-2018 15.00,667.3563232,6.888319016,966.4962591
05-03-2018 15.10,638.8452759,6.555808067,827.9943436
05-03-2018 15.20,733.5532837,6.799065113,928.0429394
05-03-2018 15.30,728.6021118,6.709152222,890.2654674
05-03-2018 15.40,669.0391235,6.611645222,850.3589991
05-03-2018 15.50,473.2510986,6.223384857,701.9775013
05-03-2018 16.00,584.364624,6.319349766,737.1211605
05-03-2018 16.10,640.861084,6.579660892,837.5051665
05-03-2018 16.20,786.1580811,7.125440121,1073.471508
05-03-2018 16.30,828.5421753,7.296388149,1155.19657
05-03-2018 16.40,1029.687012,7.501626015,1258.833772
05-03-2018 16.50,1011.231995,7.353865147,1183.593892
05-03-2018 17.00,898.6248779,7.142810822,1081.594279
05-03-2018 17.10,1040.160034,7.386612892,1199.987719
05-03-2018 17.20,1082.77002,7.548344135,1282.941826
05-03-2018 17.30,1089.738037,7.583166122,1301.100138
05-03-2018 17.40,1043.805054,7.67754221,1351.10254
05-03-2018 17.50,1032.784058,7.555913925,1286.875561
05-03-2018 18.00,911.9147949,7.356054783,1184.68515
05-03-2018 18.10,775.5070801,7.169917107,1094.35028
05-03-2018 18.20,775.0657959,7.124185085,1072.886194
05-03-2018 18.30,630.097229,6.684456825,880.0549914
05-03-2018 18.40,676.7689819,6.812502861,933.7710303
05-03-2018 18.50,408.1824036,5.60183382,498.7768818
05-03-2018 19.00,79.58447266,3.563812017,59.47270384
